Developer,Model,Pros,Cons,Common Agent Uses
Amazon,Nova Pro,"Strong multimodal skills (text, image, video). 

Deep AWS integration (Bedrock). 

Good balance of cost and performance.","Proprietary and locked to AWS. 

Video analysis ignores audio. 

Less raw reasoning power than top-tier GPT-5 or Claude 4 Opus.","Business intelligence agents: Analyzing sales videos, charts, and reports within AWS. 

Cloud automation agents: Managing and orchestrating AWS resources."
Amazon,Nova Lite,"Very fast and low-cost multimodal model. 

Optimized for interactive, real-time applications.","Less accurate than Nova Pro. 

Not intended for highly complex reasoning.","Customer service agents: Handling high-volume, real-time text and image queries. 

Content moderation agents: Rapidly scanning user-submitted images."
Amazon,Nova Micro,"Extremely cheap and fast for text-only tasks. 

Optimized for low latency and high throughput.","Text-only; no vision or audio capabilities. 

The weakest model in the Nova family.","Simple API agents: Formatting data, classifying text, or powering simple chatbots. 

Router agents: Quickly assessing a user's intent before passing to a larger model."
Meta,Llama 4 Maverick 17B,"Open-weight (MoE: 17B active of 400B total). 

Frontier performance that rivals closed models. 

Natively multimodal (text, image). 

No API cost if self-hosted.","Requires significant hardware and technical skill to self-host. 

No built-in safety/moderation layer (requires self-implementation).","Private/on-premise agents: Operating inside a company's firewall for maximum data privacy. 

Custom-trained agents: Fine-tuned on proprietary data for specialized tasks (e.g., medical research)."
Meta,Llama 4 Scout 17B,"Open-weight (MoE). 

Massive 10M token context window. 

Excellent for processing entire codebases or multiple large documents.","Also requires significant hardware to run. 

Slower than Maverick due to its focus on long context.","Research agents: Reading and summarizing multiple technical papers or books. 

Coding agents: Analyzing and refactoring an entire large-scale software project."
Anthropic,Claude 4 Opus,"State-of-the-art reasoning and coding. 

""Constitutional AI"" provides strong safety and reliability. 

Excels at complex, multi-step tasks.","Very expensive; the highest-cost model. 

Proprietary. 

Safety alignment can sometimes be restrictive.","High-stakes enterprise agents: Handling sensitive legal, financial, or medical data. 

Autonomous coding agents: Planning and executing complex software development tasks."
Anthropic,Claude 4 Sonnet,"Excellent balance of price and performance. 

Nearly as capable as Opus but significantly cheaper and faster.","Proprietary. 

Not quite as powerful as Opus for the most complex reasoning.","Advanced workflow agents: Powering the ""brains"" of most production-grade business automations. 

Complex customer service agents: Handling multi-turn, nuanced conversations."
Anthropic,Claude 4.5 Sonnet,"Adds ""Computer Use"" (can control a browser/OS). 

""Extended Thinking"" allows it to reason before answering. 

Best-in-class for agentic tasks.","Proprietary. 

More expensive than Claude 4 Sonnet. 

""Computer Use"" features can have a steep learning curve.","Autonomous web agents: Browsing websites, filling out forms, and extracting data. 

Proactive assistant agents: Monitoring systems and taking action without a prompt."
Anthropic,"Claude 3.7 Sonnet

(and 3.5 Sonnet / V2)","High-speed, cost-effective models. 

The 3.7 version introduced early ""extended thinking"" capabilities. 

Great for scaling.","Proprietary. 

Outclassed by the Claude 4 and 4.5 families in reasoning and agentic skill.","Mid-complexity agents: Tasks that need more power than Haiku but not the cost of Sonnet 4.5 (e.g., drafting long-form content, summarizing meetings)."
Anthropic,Claude 4.5 Haiku,"Adds ""Computer Use"" and ""Extended Thinking"" to the fast/cheap tier. 

Incredibly fast and affordable for its capabilities.","Proprietary. 

Much less accurate than Sonnet/Opus; can fail at complex tasks.","Simple autonomous agents: Performing basic, repetitive UI tasks (e.g., ""login and download this report""). 

Scalable data extraction agents."
